(UTC)HistoryTradesWsData;Tipo;Moeda;Valor;Saldo após;Status
19/05/2021 17:00;Depósito em Reais;BRL;R$ 150,00;150;Sucesso
07/05/2021 12:42;Investimento;BTC;-0,0045BTC(≈R$1380.6);0,00007172;Sucesso
07/05/2021 10:00;Investimento;BTC;+0,00298579BTC(≈R$899.73);0,00457172;Sucesso
06/05/2021 14:15;Investimento;ETH;-0,0363ETH(≈R$676.14);0,00004407;Sucesso
06/05/2021 12:16;Compra(ETH/BRL);BRL;-R$ 50,00;0;Sucesso
06/05/2021 12:16;Taxa de transação;ETH;-0,00001327ETH(≈R$0.25);0,03634407;Sucesso
06/05/2021 12:16;Compra(ETH/BRL);ETH;+0,00265204ETH(≈R$49.79);0,03635734;Sucesso
03/05/2021 17:42;Depósito em Reais;BRL;R$ 50,00;50;Sucesso
28/04/2021 10:00;Investimento;BTC;+0,00141479BTC(≈R$423.9);0,00158593;Sucesso
19/04/2021 10:00;Investimento;ETH;+0,03368255ETH(≈R$442.59);0,0337053;Sucesso
02/04/2021 17:30;Investimento;ETH;-0,0336ETH(≈R$393.79);0,00002275;Sucesso
26/03/2021 12:29;Taxa de transação;XMR;-0,000117XMR(≈R$0.15);0,1449638;Sucesso
26/03/2021 12:29;Compra(XMR/BRL);XMR;+0,039XMR(≈R$49.8);0,1450808;Sucesso
26/03/2021 12:29;Compra(XMR/BRL);BRL;-R$ 50,00;0;Sucesso
26/03/2021 12:27;Taxa de transação;BTC;-0,0000005BTC(≈R$0.15);0,00017114;Sucesso
26/03/2021 12:27;Compra(BTC/BRL);BTC;+0,00016471BTC(≈R$49.87);0,00017164;Sucesso
26/03/2021 12:27;Compra(BTC/BRL);BRL;-R$ 50,00;50;Sucesso
26/03/2021 12:26;Compra(ETH/BRL);BRL;-R$ 150,00;100;Sucesso
26/03/2021 12:26;Taxa de transação;ETH;-0,00004818ETH(≈R$0.45);0,03362275;Sucesso
26/03/2021 12:26;Compra(ETH/BRL);ETH;+0,01605693ETH(≈R$148.76);0,03367093;Sucesso
26/03/2021 12:22;Depósito em Reais;BRL;R$ 250,00;250;Sucesso
15/03/2021 10:00;Investimento;ETH;+0,01754303ETH(≈R$176.47);0,017614;Sucesso
26/02/2021 15:09;Investimento;ETH;-0,0175ETH(≈R$148.39);0,00007097;Sucesso
